date_1,K_RWB,K_RvegR,date_2,K_RL,K_RiM,date_3,B_RW,B_RVR,date_4,B_RL ,B_RiM,date_5,WR_RL,WR_RiM,date_6,M_RWB,M_Rwi,date_7,WR_RWM,WR_RWM_M,WR_RWM_WM,date_8,WR_RWB,WR_RWP,WR_RWP_WP
7/1/2037,-1.557960801,-1.559283515,7/1/2037,-1.564697788,-1.559283515,1/1/2037,-0.897813793,-0.897813793,1/1/2037,-0.894187461,-0.893699989,1/1/2037,-1.83110128,-1.83109658,1/1/2037,-1.746484575,-1.749438167,1/1/2038,-1.487380727,-1.498778576,-1.690344758,1/1/2037,-1.614434371,-1.827905564,-1.701901648
1/1/2038,-1.546785154,-1.540892758,1/1/2038,-1.5440805,-1.540892758,7/1/2037,-0.929580871,-0.929580871,7/1/2037,-0.936022724,-0.932893515,7/1/2037,-1.85326238,-1.85315756,7/1/2037,-1.737865066,-1.738130237,7/1/2038,-1.45057703,-1.539976561,-1.654233379,7/1/2037,-1.636595471,-1.823647832,-1.694443279
7/1/2038,-1.549553331,-1.544198167,7/1/2038,-1.544180864,-1.544198167,1/1/2038,-0.893547603,-0.893547603,1/1/2038,-0.920886887,-0.918289885,1/1/2038,-1.84239572,-1.84236808,1/1/2038,-1.741941351,-1.743769728,1/1/2039,-1.458552242,-1.468301258,-1.641337545,1/1/2038,-1.625728811,-1.833777059,-1.713249227
1/1/2039,-1.538735507,-1.515487833,1/1/2039,-1.513920758,-1.515487833,7/1/2038,-0.906304103,-0.906304103,7/1/2038,-0.915380123,-0.914562952,7/1/2038,-1.8409851,-1.84092216,7/1/2038,-1.735132732,-1.741176044,7/1/2039,-1.472617045,-1.518135485,-1.637416848,7/1/2038,-1.624318191,-1.818325287,-1.694831753
7/1/2039,-1.556377007,-1.544556909,7/1/2039,-1.546495152,-1.544556909,1/1/2039,-0.891303819,-0.891303819,1/1/2039,-0.892890341,-0.89191981,1/1/2039,-1.82682328,-1.8267714,1/1/2039,-1.743473496,-1.738764908,1/1/2040,-1.475549439,-1.452451773,-1.66455647,1/1/2039,-1.610156371,-1.822457277,-1.707575385
1/1/2040,-1.506269095,-1.505906045,1/1/2040,-1.509928455,-1.505906045,7/1/2039,-0.926671293,-0.926671293,7/1/2039,-0.918422274,-0.916947815,7/1/2039,-1.84144486,-1.84139368,7/1/2039,-1.739215373,-1.749879601,7/1/2040,-1.46944347,-1.527908682,-1.685720848,7/1/2039,-1.624777951,-1.817979446,-1.702367753
7/1/2040,-1.553863213,-1.564595985,7/1/2040,-1.568360439,-1.564595985,1/1/2040,-0.888798362,-0.888798362,1/1/2040,-0.885029432,-0.884599979,1/1/2040,-1.8260396,-1.82596894,1/1/2040,-1.733147803,-1.731251693,1/1/2041,-1.425473773,-1.404091818,-1.627624606,1/1/2040,-1.609372691,-1.822342475,-1.710596121
1/1/2041,-1.488365595,-1.466170455,1/1/2041,-1.464027818,-1.466170455,7/1/2040,-0.904408879,-0.904408879,7/1/2040,-0.92321755,-0.920731016,7/1/2040,-1.84136554,-1.84132966,7/1/2040,-1.731676447,-1.732741386,7/1/2041,-1.466414242,-1.52424003,-1.622280318,7/1/2040,-1.624698631,-1.818274634,-1.698667964
7/1/2041,-1.498482213,-1.500802091,7/1/2041,-1.496022515,-1.500802091,1/1/2041,-0.850605991,-0.850605991,1/1/2041,-0.851666013,-0.851722694,1/1/2041,-1.80806948,-1.80798674,1/1/2041,-1.748237338,-1.748212325,1/1/2042,-1.503170288,-1.547548652,-1.713903288,1/1/2041,-1.591402571,-1.814717178,-1.692196227
1/1/2042,-1.580869095,-1.57277753,1/1/2042,-1.570967409,-1.57277753,7/1/2041,-0.872434043,-0.872434043,7/1/2041,-0.896077056,-0.894682021,7/1/2041,-1.82787356,-1.82808618,7/1/2041,-1.750007662,-1.783294232,7/1/2042,-1.508790606,-1.604741424,-1.756878121,7/1/2041,-1.611206651,-1.813881119,-1.690790806
7/1/2042,-1.596800125,-1.605367909,7/1/2042,-1.6106075,-1.605367909,1/1/2042,-0.904638336,-0.904638336,1/1/2042,-0.904656166,-0.902671775,1/1/2042,-1.82827628,-1.8282924,1/1/2042,-1.742648307,-1.761309325,1/1/2043,-1.48265747,-1.503356152,-1.708046833,1/1/2042,-1.611609371,-1.83678005,-1.721783964
1/1/2043,-1.532620537,-1.526957909,1/1/2043,-1.526513939,-1.526957909,7/1/2042,-1.005072664,-1.005072664,7/1/2042,-0.987416694,-0.983339882,7/1/2042,-1.86749286,-1.86764264,7/1/2042,-1.743900088,-1.752173114,7/1/2043,-1.495641485,-1.54306653,-1.722887409,7/1/2042,-1.650825951,-1.827487178,-1.722395279
7/1/2043,-1.567204625,-1.560188227,7/1/2043,-1.559764606,-1.560188227,1/1/2043,-0.902928216,-0.902928216,1/1/2043,-0.895262587,-0.894896421,1/1/2043,-1.82921272,-1.82917272,1/1/2043,-1.745309329,-1.744103934,1/1/2044,-1.483426348,-1.487383318,-1.728481318,1/1/2043,-1.612545811,-1.82546503,-1.718046385
1/1/2044,-1.548547595,-1.551477955,1/1/2044,-1.55441397,-1.551477955,7/1/2043,-0.956211655,-0.956211655,7/1/2043,-0.942703491,-0.940265566,7/1/2043,-1.8522216,-1.85223058,7/1/2043,-1.737536057,-1.741554338,7/1/2044,-1.449716061,-1.545926712,-1.697007303,7/1/2043,-1.635554691,-1.822440782,-1.718732858
7/1/2044,-1.538997478,-1.542469697,7/1/2044,-1.546577636,-1.542469697,1/1/2044,-0.89364744,-0.89364744,1/1/2044,-0.893228652,-0.893546024,1/1/2044,-1.83400668,-1.8341441,1/1/2044,-1.742747947,-1.737668456,1/1/2045,-1.487898682,-1.516694561,-1.719285045,1/1/2044,-1.617339771,-1.822638851,-1.720424069
1/1/2045,-1.523512595,-1.531214712,1/1/2045,-1.541848697,-1.531214712,7/1/2044,-0.907276853,-0.907276853,7/1/2044,-0.89489355,-0.893015351,7/1/2044,-1.82994314,-1.82960352,7/1/2044,-1.740924693,-1.742977654,7/1/2045,-1.447982894,-1.536341121,-1.704879121,7/1/2044,-1.613276231,-1.818905277,-1.710801279
7/1/2045,-1.536785154,-1.561479303,7/1/2045,-1.564437545,-1.561479303,1/1/2045,-0.889583138,-0.889583138,1/1/2045,-0.89192852,-0.891366491,1/1/2045,-1.826687,-1.82658392,1/1/2045,-1.747806636,-1.753626711,1/1/2046,-1.442844606,-1.436863985,-1.727242606,1/1/2045,-1.610020091,-1.823559337,-1.727013542
1/1/2046,-1.476204889,-1.502613848,1/1/2046,-1.496075848,-1.502613848,7/1/2045,-0.8933335,-0.8933335,7/1/2045,-0.932315233,-0.930985984,7/1/2045,-1.84891866,-1.84929814,7/1/2045,-1.733301118,-1.73431957,7/1/2046,-1.456414909,-1.508801652,-1.702177621,7/1/2045,-1.632251751,-1.818283713,-1.721144806
7/1/2046,-1.530649625,-1.533281152,7/1/2046,-1.530426167,-1.533281152,1/1/2046,-0.88977075,-0.88977075,1/1/2046,-0.890055097,-0.890417713,1/1/2046,-1.82636684,-1.82635104,1/1/2046,-1.744316246,-1.741790754,1/1/2047,-1.486495061,-1.490119333,-1.750018864,1/1/2046,-1.609699931,-1.82402199,-1.728656648
1/1/2047,-1.568220948,-1.559249015,1/1/2047,-1.562179636,-1.559249015,7/1/2046,-0.896218388,-0.896218388,7/1/2046,-0.890930898,-0.889395568,7/1/2046,-1.82893724,-1.8289057,7/1/2046,-1.734289693,-1.733936917,7/1/2047,-1.451878212,-1.503558879,-1.690141818,7/1/2046,-1.612270331,-1.818175614,-1.716198648
,,,,,,1/1/2047,-0.887651078,-0.887651078,1/1/2047,-0.881434668,-0.881613206,1/1/2047,-1.82547232,-1.82565764,1/1/2047,-1.747049346,-1.744339342,1/1/2048,-1.47007497,-1.424994303,-1.715124561,1/1/2047,-1.608805411,-1.822359208,-1.735762121
,,,,,,7/1/2047,-0.891964552,-0.891964552,7/1/2047,-0.945646727,-0.942579247,7/1/2047,-1.85270002,-1.85268062,7/1/2047,-1.741857228,-1.764076184,7/1/2048,-1.453915212,-1.553060561,-1.747225848,7/1/2047,-1.636033111,-1.820418713,-1.726455858
,,,,,,,,,,,,,,,1/1/2048,-1.748548224,-1.757006482,1/1/2049,-1.489762455,-1.492465258,-1.773624758,1/1/2048,-1.636033111,-1.82215204,-1.7421637
,,,,,,,,,,,,,,,7/1/2048,-1.741002654,-1.758305934,7/1/2049,-1.461403591,-1.54308803,-1.770511712,7/1/2048,-1.636033111,-1.826258733,-1.743927648
,,,,,,,,,,,,,,,1/1/2049,-1.748681329,-1.744600272,,,,,1/1/2049,-1.636033111,-1.828250337,-1.753658753
,,,,,,,,,,,,,,,7/1/2049,-1.735601969,-1.737474904,,,,,7/1/2049,-1.636033111,-1.82509002,-1.747988332
